"Año";"Periodo";"Nacimientos";"Defunciones"
"1941";"Año";"278.718";"259.202"
"1942";"Año";"256.370";"205.251"
"1943";"Año";"306.319";"174.980"
"1944";"Año";"309.832";"184.717"
"1945";"Año";"315.908";"170.371"
"1946";"Año";"308.243";"179.170"
"1947";"Año";"284.347";"179.149"
"1948";"Año";"337.796";"158.028"
"1949";"Año";"311.770";"163.814"
"1950";"Año";"284.257";"158.963"
"1951";"Año";"294.754";"193.926"
"1952";"Año";"303.865";"151.912"
"1953";"Año";"302.524";"154.100"
"1954";"Año";"293.439";"140.209"
"1955";"Año";"306.911";"144.208"
"1956";"Año";"310.320";"160.208"
"1957";"Año";"321.735";"143.088"
"1958";"Año";"329.701";"137.537"
"1959";"Año";"329.431";"144.667"
"1960";"Año";"336.864";"143.322"
"1961";"Año";"328.454";"138.476"
"1962";"Año";"329.606";"148.804"
"1963";"Año";"334.777";"159.491"
"1964";"Año";"349.272";"146.205"
"1965";"Año";"336.254";"149.835"
"1966";"Año";"332.511";"143.306"
"1967";"Año";"336.199";"147.665"
"1968";"Año";"335.776";"155.076"
"1969";"Año";"331.093";"149.111"
"1970";"Año";"330.677";"150.575"
"1971";"Año";"331.414";"158.057"
"1972";"Año";"334.746";"150.670"
"1973";"Año";"337.328";"161.035"
"1974";"Año";"334.673";"150.528"
"1975";"Año";"334.000";"156.391"
"1976";"Año";"338.778";"159.710"
"1977";"Año";"332.776";"156.457"
"1978";"Año";"326.453";"152.803"
"1979";"Año";"307.924";"149.318"
"1980";"Año";"287.060";"144.638"
"1981";"Año";"269.352";"158.086"
"1982";"Año";"259.132";"143.465"
"1983";"Año";"242.667";"162.513"
"1984";"Año";"237.955";"156.123"
"1985";"Año";"230.465";"161.025"
"1986";"Año";"216.307";"164.779"
"1987";"Año";"213.475";"157.499"
"1988";"Año";"207.630";"160.497"
"1989";"Año";"202.693";"167.248"
"1990";"Año";"198.181";"170.475"
"1991";"Año";"195.773";"174.235"
"1992";"Año";"195.393";"172.526"
"1993";"Año";"193.353";"175.425"
"1994";"Año";"186.870";"172.617"
"1995";"Año";"179.871";"176.300"
"1996";"Año";"179.940";"179.978"
"1997";"Año";"184.928";"182.447"
"1998";"Año";"180.272";"187.448"
"1999";"Año";"185.222";"197.902"
"2000";"Año";"195.353";"190.301"
"2001";"Año";"198.328";"180.771"
"2002";"Año";"202.337";"194.694"
"2003";"Año";"217.730";"192.852"
"2004";"Año";"220.086";"190.268"
"2005";"Año";"227.329";"211.783"
"2006";"Año";"237.115";"189.033"
"2007";"Año";"238.824";"198.783"
"2008";"Año";"255.062";"199.119"
"2009";"Año";"243.818";"199.879"
"2010";"Año";"233.737";"194.924"
"2011";"Año";"230.568";"198.773"
"2012";"Año";"224.782";"217.634"
"2013";"Año";"207.391";"200.491"
"2014";"Año";"208.375";"204.464"
"2015";"Año";"204.910";"226.190"
"2016";"Año";"200.255";"210.300"
"2017";"Año";"190.962";"221.700"
"2018";"Año";"181.366";"227.786"
"2019";"Año";"175.429";"219.350"
"2020";"Año";"168.047";"262.373"
;;;
;;;
"Métrica":"Nacimientos"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"Defunciones"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/mas-defunciones-nacimientos/a5804d18-8359-43f5-b6e9-05b93e037452"
"Titulo":"Evolución de defunciones y nacimientos en España desde 1941"
"Subtitulo":"(Primer semestre de cada año)"
